CSCX;CSC;Predio;Direccion;Pais;Departamento;Municipio;latitud;longitud
2922;2493;EDIFICIO MULTIFAMILIAR MIXTO  ARBOLEDA DE LAS VEGAS VIS ;CARRERA 85 C 1  54 B -27;COLOMBIA;Valle del cauca;CALI;L;L%&
2933;2775;CONJUNTO RESIDENCIAL JARDIN DE LAS VEGAS VIS ;CARRERA 85 D  54-60;COLOMBIA;Valle del cauca;CALI;L;L%&
3005;2950;CONJUNTO GRANATE  V I S ;CARRERA 95 59 - 34 ;COLOMBIA;Valle del cauca;CALI;L;L%&
3008;3058;CONJUNTO RESIDENCIAL CANTABRIA;CARRERA 96  53 - 172;COLOMBIA;Valle del cauca;CALI;L;L%&
3009;2923;CONJUNTO MAGENTA B-VIS;CARRERA 96  59 - 42;COLOMBIA;Valle del cauca;CALI;L;L%&
3011;3033;CONJUNTO TURQUI VIS;CARRERA 97  58 - 31;COLOMBIA;Valle del cauca;CALI;L;L%&
3018;2864;CONJUNTO ZAFIRO B - VIS;CARRERA 98 B  60 - 115;COLOMBIA;Valle del cauca;CALI;L;L%&
3021;2670;CONJUNTO RESIDENCIAL  PORTAL DE LA ALAMEDA DOS   ;CARRERA 98 C  53-112;COLOMBIA;Valle del cauca;CALI;L;L%&
3019;2578;CONJUNTO RESIDENCIAL MIRADOR DE LA ALAMEDA;CARRERA 98 C  54-86;COLOMBIA;Valle del cauca;CALI;L;L%&
3020;2798;CONJUNTO TURQUESA  C -VIS ;CARRERA 98 C  60- 96;COLOMBIA;Valle del cauca;CALI;L;L%&
3022;2797;CONJUNTO TURQUESA  A -VIS ;CARRERA 98 D  60-87;COLOMBIA;Valle del cauca;CALI;L;L%&
3023;2915;CONJUNTO CELESTE PARQUE RESIDENCIAL;CARRERA 98 E  60 - 66;COLOMBIA;Valle del cauca;CALI;L;L%&
3024;2944;CONJUNTO INDIGO;CARRERA 98 F  58 - 66;COLOMBIA;Valle del cauca;CALI;L;L%&
3026;2388;CAMPOS DEL BOSQUE   CONJUNTO RESIDENCIAL  V I S ETAPA  I;CARRERA 98  53-105;COLOMBIA;Valle del cauca;CALI;L;L%&
3027;2402;CONJUNTO RESIDENCIAL SENDEROS DE LA PRADERA ;CARRERA 98  53-181;COLOMBIA;Valle del cauca;CALI;L;L%&
3031;2877;CONJUNTO MARFIL B VIS;CARRERA 98  60 - 133;COLOMBIA;Valle del cauca;CALI;L;L%&
3032;2920;CONJUNTO ZAFIRO C-VIS;CARRERA 98  60 - 96;COLOMBIA;Valle del cauca;CALI;L;L%&
3049;525;CONJUNTO TERRACOTA;CORREGIMIENTO DE PANCE  20-46;COLOMBIA;Valle del cauca;CALI;L;L%&
3050;26;PARCELACION CANTACLARO;CORREGIMIENTO LA BUITRERA;COLOMBIA;Valle del cauca;CALI;L;L%&
3052;839;condominio catay;corregimiento la viga pance;COLOMBIA;Valle del cauca;CALI;L;L%&
3069;12;EDIFICIO CENTRO COMERCIAL Y PROFESIONAL EL PANAMERICA;DIAGONAL 29  36-04/06/10/12 Y CARRERA 36  D28-84;COLOMBIA;Valle del cauca;CALI;L;L%&
3080;2203;CONDOMINIO LOS BOHIOS;LA VIGA PANCE;COLOMBIA;Valle del cauca;CALI;L;L%&
3081;78;CONDOMINIO RIVERAS DE PANCE;CORREGIMIENTO DE PANCE;COLOMBIA;Valle del cauca;CALI;L;L%&
3082;1922;CONJUNTO RESIDENCIAL PARAISO DE LA MORADA;PARCELACION LA MORADA;COLOMBIA;Valle del cauca;CALI;L;L%&
3083;1073;CONJUNTO RESIDENCIAL el Riachuelo;Sector la Viga-Pance;COLOMBIA;Valle del cauca;CALI;L;L%&
3096;35;PARCELACION CHORRO DE PLATA;VEREDA LA VORAGINE;COLOMBIA;Valle del cauca;CALI;L;L%&
3097;1033;parcelacion chorros de la plata;vereda la voragine pance;COLOMBIA;Valle del cauca;CALI;L;L%&
