38;2396;CONJUNTO RESIDENCIAL LOS SAUCES -VIS ;AVENIDA 2 A No 75 H NORTE -89;COLOMBIA;Valle del cauca;CALI;L;L%&
39;2537;CONJUNTO RESIDENCIAL LOS CIPRESES;AVENIDA 2 A No 76 NORTE - 79;COLOMBIA;Valle del cauca;CALI;L;L%&
40;501;EDIFICIO NATANIA;AVENIDA 2 A NORTE No 28N-73;COLOMBIA;Valle del cauca;CALI;L;L%&
41;2024;EDIFICIO LA RIBERA;AVENIDA 2 AVENIDA DEL RIO No 7-72;COLOMBIA;Valle del cauca;CALI;L;L%&
42;2528;CONJUNTO RINCON DE LA FLORA III;AVENIDA 2 B No 32 A NORTE - 42;COLOMBIA;Valle del cauca;CALI;L;L%&
43;3083;CONJUNTO RESIDENCIAL LAZIO;AVENIDA 2 C No 71 NORTE - 62;COLOMBIA;Valle del cauca;CALI;L;L%&
44;2949;EDIFICIO  ONIX ;AVENIDA 2 D NORTE No 24N-17;COLOMBIA;Valle del cauca;CALI;L;L%&
45;1662;ASOCIACION de Acuicultores del Occidente Colombiano-SAV;AVENIDA 2 F NORTE No 32-30;COLOMBIA;Valle del cauca;CALI;L;L%&
46;610;EDIFICIO TEMPO;AVENIDA 2 No 10-130 OESTE;COLOMBIA;Valle del cauca;CALI;L;L%&
47;2051;EDIFICIO BALCONES DE LA MERCED;AVENIDA 2 NORTE 44-N- 39;COLOMBIA;Valle del cauca;CALI;L;L%&
48;406;EDIFICIO ZAPALLAR;AVENIDA 2 NORTE CALLE 5 NORTE No 4N-58/60;COLOMBIA;Valle del cauca;CALI;L;L%&
49;171;EDIFICIO HORIZONTE;AVENIDA 2 NORTE No 3N -69;COLOMBIA;Valle del cauca;CALI;L;L%&
50;1243;EDIFICIO KRONOS;AVENIDA 2 NORTE No 4N-36/38;COLOMBIA;Valle del cauca;CALI;L;L%&
51;383;EDIFICIO CENTRO PROFESIONAL Y COMERCIAL EL CENTENARIO II;AVENIDA 2 NORTE No 7N-55;COLOMBIA;Valle del cauca;CALI;L;L%&
52;2049;EDIFICIO RUBY ;AVENIDA 2 OESTE 12 -52;COLOMBIA;Valle del cauca;CALI;L;L%&
53;1389;EDIFICIO HABITAT;AVENIDA 2 OESTE No 11-60/66;COLOMBIA;Valle del cauca;CALI;L;L%&
54;1074;EDIFICIO LA RIVIERA;AVENIDA 2 OESTE No 11-76;COLOMBIA;Valle del cauca;CALI;L;L%&
55;2593;EDIFICIO EL REMANSO DEL OESTE ;AVENIDA 2 OESTE No 12--72;COLOMBIA;Valle del cauca;CALI;L;L%&
56;1741;EDIFICIO EL RINCON DE SANTA RITA;AVENIDA 2 OESTE No 12-92;COLOMBIA;Valle del cauca;CALI;L;L%&
57;1443;EDIFICIO Venecia del Rio;AVENIDA 2 OESTE No 13-94;COLOMBIA;Valle del cauca;CALI;L;L%&
58;677;EDIFICIO BALMORAL;AVENIDA 2 OESTE No 7-120;COLOMBIA;Valle del cauca;CALI;L;L%&
59;702;EDIFICIO  MARIA TERESA;AVENIDA 2a NORTE No 4 N -05;COLOMBIA;Valle del cauca;CALI;L;L%&
60;562;CONDOMINIO VALPARAISO;AVENIDA 2A NORTE No 34AN-45;COLOMBIA;Valle del cauca;CALI;L;L%&
61;39;UNIDAD RESIDENCIAL PACARA I;AVENIDA 2A NORTE No 52N-75;COLOMBIA;Valle del cauca;CALI;L;L%&
62;2184;EDIFICIO LAS CADMIAS;AVENIDA 2a NORTE No 6 N -62;COLOMBIA;Valle del cauca;CALI;L;L%&
63;1628;EDIFICIO Otto;AVENIDA 2AN No 38N-21;COLOMBIA;Valle del cauca;CALI;L;L%&
64;994;CONJUNTO No 1 LAS MARGARITAS;AVENIDA 2B 2N No 73N-151;COLOMBIA;Valle del cauca;CALI;L;L%&
65;754;CONJUNTO RESIDENCIAL PLAZA CENTRAL II ;AVENIDA 2B NORTE No 30N-16;COLOMBIA;Valle del cauca;CALI;L;L%&
66;840;CONJUNTO No III LAS VERANERAS;AVENIDA 2B1 No 73NBis-65;COLOMBIA;Valle del cauca;CALI;L;L%&
67;860;CONJUNTO No 2 LOS GERANIOS;AVENIDA 2B-2 No 73BisN-59;COLOMBIA;Valle del cauca;CALI;L;L%&
68;1001;CONJUNTO No 1 LOS ROBLES;AVENIDA 2B-2 No 73NBIS-99;COLOMBIA;Valle del cauca;CALI;L;L%&
69;845;CONJUNTO No 3 LOS GUAYACANES;AVENIDA 2B-2 No 74N-34;COLOMBIA;Valle del cauca;CALI;L;L%&
70;691;CONJUNTO No 4 LOS MORICHALES  ;AVENIDA 2B-2 No 74N-35;COLOMBIA;Valle del cauca;CALI;L;L%&
71;1139;CONJUNTO No 2 LOS ABEDULES BRISAS DE LOS ALAMOS II ETAPA;AVENIDA 2B2 No73NBis-98;COLOMBIA;Valle del cauca;CALI;L;L%&
72;2431;CONJUNTO MULTIFAMILIAR RINCON DE LA FLORA  2 VIS   ;AVENIDA 2BN No 32 A-33;COLOMBIA;Valle del cauca;CALI;L;L%&
73;1043;UNIDAD RESIDENCIAL RINCON DEL NORTE;AVENIDA 2C No 72N-46;COLOMBIA;Valle del cauca;CALI;L;L%&
74;855;CONJUNTO RESIDENCIAL No 5 LOS LAURELES;AVENIDA 2C No 75N 28;COLOMBIA;Valle del cauca;CALI;L;L%&
75;402;EDIFICIO HIPOCRATES;AVENIDA 2C NORTE No 24N-120;COLOMBIA;Valle del cauca;CALI;L;L%&
76;37;EDIFICIO SAN VICENTE;AVENIDA 2C NORTE No 24N-172/174/176;COLOMBIA;Valle del cauca;CALI;L;L%&
77;321;CONJUNTO SANTA CATALINA PACARA I ETAPAII;AVENIDA 2E NORTE No 52AN-07;COLOMBIA;Valle del cauca;CALI;L;L%&
78;6;CONJUNTO RESIDENCIAL SANTA LUCIA PACARA - III ETAPA;AVENIDA 2E NORTE No 53AN-05;COLOMBIA;Valle del cauca;CALI;L;L%&
